region,year,avg_live_weight_lb,certified_klb
North Carolina,2025,8.4,6151573
Oklahoma,2025,8.1,615764
Delaware,2025,7.7,2335596
Arkansas,2025,7.4,5890538
South Carolina,2025,7.3,
Louisiana,2025,6.9,919175
Texas,2025,6.9,
Kentucky,2025,6.8,1541446
Mississippi,2025,6.7,3677978
United States,2025,6.62,
Vermont,2025,6.6,
Maryland,2025,6.5,705227
Illinois,2025,6.4,3289
Virginia,2025,6.3,
Georgia,2025,6.2,6092890
Tennessee,2025,6.2,
Pennsylvania,2025,5.8,
Alabama,2025,5.6,5138485
Missouri,2025,5.5,1314619
Iowa,2025,5.4,36572
New Jersey,2025,5.4,11819
New York,2025,5.1,123920
Ohio,2025,4.6,458286
North Carolina,2024,8.4,6101103
Delaware,2024,7.8,2285084
Oklahoma,2024,7.8,571541
South Carolina,2024,7.4,
Arkansas,2024,7.3,5654710
Texas,2024,6.9,
Louisiana,2024,6.8,914643
Kentucky,2024,6.7,1503493
Mississippi,2024,6.7,3563378
Vermont,2024,6.6,
United States,2024,6.57,
Illinois,2024,6.4,3751
Maryland,2024,6.4,692195
Virginia,2024,6.4,
Tennessee,2024,6.1,
Georgia,2024,6.0,5896900
Pennsylvania,2024,5.8,
Iowa,2024,5.7,80268
Alabama,2024,5.5,5010622
Missouri,2024,5.4,1266680
New Jersey,2024,5.4,11793
New York,2024,5.0,108405
Ohio,2024,4.6,436622
