region,census_year,sales_head,operations,inventory
Alabama,2022,1183808730,2140,216491903
Alaska,2022,11666,48,4057
Arizona,2022,14754,43,3741
Arkansas,2022,1045855386,1924,205552568
California,2022,313662311,460,50781157
Colorado,2022,757594,321,118209
Connecticut,2022,223640,149,51667
Delaware,2022,242072919,588,50458117
Florida,2022,64995839,415,12259925
Georgia,2022,1300052315,2018,231349257
Hawaii,2022,8918,25,12768
Idaho,2022,11815,155,12403
Illinois,2022,1121454,548,288560
Indiana,2022,51943087,715,8174313
Iowa,2022,16718903,693,2914861
Kansas,2022,33822,252,19300
Kentucky,2022,262581637,796,48826967
Louisiana,2022,135838909,310,27083927
Maine,2022,351860,264,133684
Maryland,2022,277949940,682,60567658
Massachusetts,2022,177113,180,36805
Michigan,2022,12609876,1332,2277900
Minnesota,2022,41793592,1028,7767645
Mississippi,2022,668652465,1057,124374849
Missouri,2022,316092128,966,56614738
Montana,2022,133389,91,95107
Nebraska,2022,90851080,200,15912621
Nevada,2022,2366,14,887
New Hampshire,2022,115753,147,19994
New Jersey,2022,311102,147,52074
New Mexico,2022,3955,77,6292
New York,2022,1538860,703,460277
North Carolina,2022,972408186,2058,193951790
North Dakota,2022,22391,82,40292
Ohio,2022,123982907,1510,20002853
Oklahoma,2022,220548594,670,41322273
Oregon,2022,18594126,629,3526079
Pennsylvania,2022,229556622,1493,39986947
Rhode Island,2022,86722,34,21881
South Carolina,2022,236547011,645,54050467
South Dakota,2022,77046,125,40795
Tennessee,2022,189393169,664,35712972
Texas,2022,709585824,2086,146162793
Utah,2022,13691,132,8018
Vermont,2022,467308,274,102822
Virginia,2022,292409636,1009,55500718
Washington,2022,25904999,395,5226564
West Virginia,2022,70182475,334,10796272
Wisconsin,2022,56724981,1179,8493377
Wyoming,2022,6525,70,3813
